pdf_name,page_number,pdfplumber_table_found,img2table_table_found,tabula_table_found,paddle_max_probabilities,microsoft_max_probabilities,table_found
7_Security_2020_AE,25,True,True,True,0.95062596,0.9997373223304749,True
7_Security_2020_AE,26,True,True,True,0.9046933,0.9997594952583312,True
7_Security_2020_AE,27,True,True,True,0.9726777,0.9988769888877868,True
7_Security_2020_AE,28,True,True,True,0.95863897,0.9991917014122008,True
7_Security_2020_AE,29,True,True,True,0.9819223,0.9881219863891602,True
7_Security_2020_AE,30,False,False,False,0.0,0.0,False
7_Security_2020_AE,31,True,True,True,0.98340696,0.9975001215934752,True
7_Security_2020_AE,32,True,True,False,0.67942506,0.5192557573318481,False
7_Security_2020_AE,33,True,True,True,0.96436894,0.9994834661483764,True
Hotels_and_Resturants_QSA_AnBu_AE_2016,1,False,False,False,0.0,0.6306265592575073,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,2,False,False,False,0.0,0.859200119972229,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,3,False,True,False,0.3699701,0.6992754936218262,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,4,False,False,False,0.0,0.859200119972229,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,5,False,False,False,0.0,0.737350344657898,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,8,False,False,False,0.3147491,0.0,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,9,False,False,False,0.0,0.8299071788787842,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,10,False,False,False,0.0,0.319646418094635,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,11,False,False,False,0.0,0.0,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,12,False,False,False,0.0,0.0,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,13,False,False,False,0.0,0.0,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,14,False,False,False,0.0,0.0,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,15,False,False,False,0.0,0.4703170955181122,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,16,False,False,False,0.0,0.4366500079631805,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,17,False,False,False,0.0,0.0,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,18,False,False,False,0.0,0.454196959733963,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,19,False,True,False,0.0,0.7570628523826599,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,20,False,False,False,0.0,0.859200119972229,False
Hotels_and_Resturants_QSA_AnBu_AE_2016,22,False,False,False,0.0,0.859200119972229,False
